rank,name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,total_purchase,total_plays,total_play_hours,list_of_users_ids_for_the_game
497,Sega Superstars Tennis,X360,2008,Sports,Sega,,,0,,,,,,
651,Need for Speed (2015),PS4,2015,Racing,Electronic Arts,,,,,,,,,
872,Tom Clancy's Rainbow Six: Vegas,X360,2006,Shooter,Ubisoft,,,,,,,,,
1292,Fight Night Round 3,X360,2006,Fighting,Electronic Arts,,,,,,,,,
1672,Just Dance 2016,Wii,2015,Misc,Ubisoft,,,0,,,,,,
1780,Tak and the Power of Juju,PS2,2003,Platform,THQ,,,0,,,,,,
1838,Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,,,0,,,,,,
1907,Joust,2600,1982,Platform,Atari,,,0,,,,,,
2072,Killzone: Mercenary,PSV,2013,Shooter,Sony Computer Entertainment Europe,,,,,1,,,,
2609,Tiger Woods PGA Tour 10,PS3,2009,Sports,Electronic Arts,,,0,,,,,,
3202,Iron Man,PSP,2008,Action,Sega,,,0,,,,,,
3279,Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,Eidos Interactive,,,0,0,,,,,
3374,Front Mission,SNES,1995,Strategy,SquareSoft,0,0,,0,,,,,
3474,Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,,,0,,,,,,
3741,Hello Kitty: Big City Dreams,DS,2008,Puzzle,Empire Interactive,,,0,,,,,,
3787,Kirby and the Rainbow Curse,WiiU,2015,Platform,Nintendo,,,,,,,,,
3840,We Love Katamari,PS2,2005,Puzzle,Electronic Arts,,,0,,,,,,
4102,James Bond 007: Blood Stone,X360,2010,Shooter,Activision,,,0,,,,,,
4178,Hot Wheels Velocity X,PS2,2002,Racing,THQ,,,0,,,,,,
4352,Plants vs. Zombies: Garden Warfare 2,PS4,2016,Shooter,Electronic Arts,,,0,,,,,,
4420,TouchMaster 3,DS,2009,Puzzle,Warner Bros. Interactive Entertainment,,,0,,,,,,
4568,Naruto: Ninja Council 3,DS,2006,Action,D3Publisher,,0,0,,,,,,
4681,Dexter's Laboratory Deesaster Strikes,GBA,2001,Adventure,BAM! Entertainment,,,0,,,,,,
5070,Dance Dance Revolution Ultramix 3,XB,2005,Simulation,Konami Digital Entertainment,,,0,,,,,,
5316,Saban's Power Rangers: Lightspeed Rescue,PS,2000,Action,THQ,,,0,,,,,,
5454,The X-Factor,Wii,2010,Misc,Deep Silver,0,,0,,,,,,
5848,Lizzie McGuire 3: Homecoming Havoc,GBA,2005,Platform,Disney Interactive Studios,,,0,,,,,,
6039,Heroes of the Pacific,PS2,2005,Simulation,Codemasters,,,0,,,,,,
6073,Borderlands: The Pre-Sequel,PC,2014,Shooter,Take-Two Interactive,,,0,,,,,,
6294,R.U.S.E.,X360,2010,Strategy,Ubisoft,,,0,,,43.0,0,0.0,"239413586,199628395,119239620,58431944,44482198,66650717,122940861,128570709,27579751,27279261,43684632,134322141,77980915,93085014,152959594,77136810,46055854,72207742,55334302,95440541,94019469,50818751,197786337,92914917,90304490,22301321,9180659,99303066,62990992,59662830,122026623,76560982,137334839,89564754,69434488,9823354,11978743,79542039,107743243,77018622,116876958,31007645,50744279"
6501,Tom and Jerry in War of the Whiskers,PS2,2002,Fighting,Ubisoft,,,0,,,,,,
6520,Hatsune Miku: Project Diva,PSP,2009,Misc,Sega,0,0,,0,,,,,
6591,The Backyardigans,DS,2009,Adventure,Take-Two Interactive,,0,0,,,,,,
6749,Fuel,PS3,2009,Racing,Codemasters,,,0,,,,,,
6968,Big Beach Sports 2,Wii,N/A,Sports,THQ,,,0,,,,,,
7140,TNA iMPACT!,PS2,2008,Fighting,Midway Games,,0,0,,,,,,
7233,Where's Waldo? The Fantastic Journey,DS,2009,Adventure,Ubisoft,,0,0,,,,,,
7380,Viewtiful Joe 2,PS2,2004,Action,Capcom,,,0,,,,,,
7439,J-League Winning Eleven 10 + Europa League 06-07,PS2,2006,Sports,Konami Digital Entertainment,0,0,,0,,,,,
7684,South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,,,0,,,,,,
8424,Learning to Spell,DS,2010,Misc,505 Games,,0,0,,,,,,
8626,Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,2006,Fighting,Atari,,0,0,,,,,,
9049,Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,Racing,THQ,,,0,,,,,,
9051,Legend of the Guardians: The Owls of Ga'Hoole,DS,2010,Action,Warner Bros. Interactive Entertainment,,,0,,,,,,
9378,Azure Dreams,PS,1997,Role-Playing,Konami Digital Entertainment,,,0,,,,,,
9479,Harvest Moon DS (jp sales),DS,2005,Simulation,Rising Star Games,0,0,,0,,,,,
9746,Break 'Em All,DS,2005,Puzzle,D3Publisher,,0,0,,,,,,
9795,Atelier Annie: Alchemists of Sera Island,DS,2009,Role-Playing,Gust,,0,,,,,,,
9994,FIFA Soccer,PSP,2005,Sports,Electronic Arts,,0,0,,,,,,
10087,Shinseiki Evangelion: Koutetsu no Girlfriend,SAT,1998,Adventure,Sega,0,0,,0,,,,,
